segment,Burnout & Demanding Shifts,Management Responsiveness,Operational Instability & Scheduling,Pay Imbalance,Progression & Promotion Unfairness,segment_size
contract Forklift Operator,2,1,0,0,0,6
contract Stower,5,0,1,0,3,11
contract Warehouse Associate,0,4,0,0,1,10
part time Forklift Operator,6,3,5,1,3,21
part time Stower,6,4,4,2,4,26
part time Warehouse Associate,7,4,5,3,1,23
regular Forklift Operator,20,19,8,5,13,66
regular Stower,17,13,9,5,14,74
regular Warehouse Associate,21,20,9,6,6,63
